Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,breast-w,1,kNN,Original Features,n_neighbors=5,0.9602401304675562,0.03465016996651149,0.015800714856657017,9,0,0.004188966751098633
0,breast-w,1,kNN,Original Features,n_neighbors=10,0.9549128372669534,0.044677361123309854,0.009826069043878172,9,0,0.00398859977722168
0,breast-w,1,ikNN,Original Features,default,0.9508306607381485,0.03511215834513153,0.013234550746839213,9,0,1.2458671092987061
1,credit-approval,1,kNN,Original Features,n_neighbors=5,0.6786806078323291,0.04780425803445315,0.10164485112101529,60,0,0.0031916141510009766
1,credit-approval,1,kNN,Original Features,n_neighbors=10,0.6823748467215118,0.03645165287733057,0.04937289200036754,60,0,0.002193307876586914
1,credit-approval,1,ikNN,Original Features,default,0.851430700246547,0.16339689241124622,0.007406361480490786,60,0,2.8886715888977053
2,credit-g,1,kNN,Original Features,n_neighbors=5,0.5252505562675738,0.03673087843558922,0.14293367124674516,74,0,0.004187631607055664
2,credit-g,1,kNN,Original Features,n_neighbors=10,0.5069505875364069,0.037178178805043344,0.11938444664368864,74,0,0.0031762123107910156
2,credit-g,1,ikNN,Original Features,default,0.553352959391957,0.07582643036691872,0.04459191478772695,74,0,4.490586137771606
3,diabetes,1,kNN,Original Features,n_neighbors=5,0.6833602693423673,0.032873493253590895,0.08522766607227694,8,0,0.0035889148712158203
3,diabetes,1,kNN,Original Features,n_neighbors=10,0.6976946294128566,0.03550560756756162,0.03975198150841963,8,0,0.003988790512084961
3,diabetes,1,ikNN,Original Features,default,0.6726093686929343,0.022040445768569027,0.062096248359075124,8,0,1.020868682861328
4,sick,1,kNN,Original Features,n_neighbors=5,0.5791952073297449,0.022756042625715095,0.07526813067344207,76,0,0.005784511566162109
4,sick,1,kNN,Original Features,n_neighbors=10,0.5128380088966606,0.011042047057857742,0.031943048401497864,76,0,0.005983924865722657
4,sick,1,ikNN,Original Features,default,0.8349180492054922,0.03445217115121775,0.023692421236803596,76,0,16.43464288711548
5,yeast,1,kNN,Original Features,n_neighbors=5,0.5272794267243436,0.04076764745142041,0.1249582380656894,8,0,0.004786777496337891
5,yeast,1,kNN,Original Features,n_neighbors=10,0.5507186187434383,0.03936998382745952,0.06359102773321279,8,0,0.004985904693603516
5,yeast,1,ikNN,Original Features,default,0.35340070941327245,0.05028353968486041,0.13029665084726683,8,0,1.7098256587982177
6,baseball,1,kNN,Original Features,n_neighbors=5,0.5934402531873908,0.03157661367402384,0.11692097823328196,23,0,0.0022552967071533202
6,baseball,1,kNN,Original Features,n_neighbors=10,0.5841283040070986,0.04617877997942,0.08967736780282021,23,0,0.0029924392700195314
6,baseball,1,ikNN,Original Features,default,0.5487216624427934,0.045254992796721294,0.09307358138102328,23,0,2.3104191780090333
7,oil_spill,1,kNN,Original Features,n_neighbors=5,0.5051881238267554,0.03600570446129009,0.0667568866588163,49,0,0.002194070816040039
7,oil_spill,1,kNN,Original Features,n_neighbors=10,0.48881639383104714,0.0006031545126481723,0.017371319614143732,49,0,0.0023933887481689454
7,oil_spill,1,ikNN,Original Features,default,0.578380198376223,0.08665670236409069,0.10847529951477752,49,0,2.714537525177002
8,irish,1,kNN,Original Features,n_neighbors=5,0.6495173333469759,0.05609044127698988,0.15837062921410028,21,0,0.0023932456970214844
8,irish,1,kNN,Original Features,n_neighbors=10,0.6371386129446256,0.05295386759809199,0.09786693595495743,21,0,0.0035904407501220702
8,irish,1,ikNN,Original Features,default,0.8912896286777496,0.10060257871199163,0.013693496466736454,21,0,1.352781057357788
9,profb,1,kNN,Original Features,n_neighbors=5,0.5242051553499119,0.04812497047944567,0.15621962021709324,14,0,0.0037895679473876954
