Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,breast-w,1,kNN,Original Features,,0.9602401304675562,0.03465016996651149,0.015800714856657017,9,0,0.0044348716735839845
0,breast-w,1,kNN,Arithmetic-based Features,,0.9527922862152982,0.05173330734460412,0.018424901949921413,9,0,0.011012649536132813
0,breast-w,1,ikNN,Original Features,,0.9508306607381485,0.03511215834513153,0.013234550746839213,9,0,1.7195712089538575
0,breast-w,1,ikNN,Arithmetic-based Features,,0.9572365103384973,0.02592328983670075,0.012101639604654713,9,0,6.521191835403442
1,credit-approval,1,kNN,Original Features,,0.6786806078323291,0.04780425803445315,0.10164485112101529,60,0,0.0028250694274902345
1,credit-approval,1,kNN,Arithmetic-based Features,,0.693468390091762,0.02381284722871829,0.09668614972185496,60,0,0.013293647766113281
1,credit-approval,1,ikNN,Original Features,,0.851430700246547,0.16339689241124622,0.007406361480490786,60,0,3.7874794960021974
1,credit-approval,1,ikNN,Arithmetic-based Features,,0.8261124438495127,0.153285403625618,0.03830325944383128,60,0,5.4575599193572994
2,credit-g,1,kNN,Original Features,,0.5252505562675738,0.03673087843558922,0.14293367124674516,74,0,0.0024021148681640627
2,credit-g,1,kNN,Arithmetic-based Features,,0.5524848395946991,0.02257275549333156,0.13931917929683912,74,0,0.01821422576904297
2,credit-g,1,ikNN,Original Features,,0.553352959391957,0.07582643036691872,0.04459191478772695,74,0,5.300432634353638
2,credit-g,1,ikNN,Arithmetic-based Features,,0.5799004220140899,0.02703766046095826,0.11261339136264525,74,0,7.465428447723388
3,diabetes,1,kNN,Original Features,,0.6833602693423673,0.032873493253590895,0.08522766607227694,8,0,0.0005986690521240234
3,diabetes,1,kNN,Arithmetic-based Features,,0.688824219758731,0.042698777503835904,0.09219480428064142,8,0,0.008045721054077148
3,diabetes,1,ikNN,Original Features,,0.6726093686929343,0.022040445768569027,0.062096248359075124,8,0,1.4394542694091796
3,diabetes,1,ikNN,Arithmetic-based Features,,0.7043078331788514,0.008727906440860673,0.045522980081541875,8,0,5.837637424468994
4,sick,1,kNN,Original Features,,0.5791952073297449,0.022756042625715095,0.07526813067344207,76,0,0.009283018112182618
4,sick,1,kNN,Arithmetic-based Features,,0.6041540266050298,0.02370090412246708,0.06693746039777682,76,0,0.16677041053771974
